GEO_ID,NAME,B19013_001E,B19013_001M
42101008701,"Census Tract 87.01, Philadelphia County, Pennsylvania",43929,11407
42101008702,"Census Tract 87.02, Philadelphia County, Pennsylvania",35643,9658
42101008801,"Census Tract 88.01, Philadelphia County, Pennsylvania",31250,16138
42101008802,"Census Tract 88.02, Philadelphia County, Pennsylvania",22104,11094
42101009000,"Census Tract 90, Philadelphia County, Pennsylvania",25515,6437
42101009100,"Census Tract 91, Philadelphia County, Pennsylvania",17813,14073
42101009200,"Census Tract 92, Philadelphia County, Pennsylvania",23333,8335
42101009300,"Census Tract 93, Philadelphia County, Pennsylvania",26650,6123
42101009400,"Census Tract 94, Philadelphia County, Pennsylvania",19787,6249
42101009500,"Census Tract 95, Philadelphia County, Pennsylvania",28636,13720
42101009600,"Census Tract 96, Philadelphia County, Pennsylvania",33713,11765
42101009801,"Census Tract 98.01, Philadelphia County, Pennsylvania",57852,9220
42101009802,"Census Tract 98.02, Philadelphia County, Pennsylvania",57017,18350
42101010000,"Census Tract 100, Philadelphia County, Pennsylvania",44748,17887
42101010100,"Census Tract 101, Philadelphia County, Pennsylvania",45540,21644
42101010200,"Census Tract 102, Philadelphia County, Pennsylvania",25455,7862
42101010300,"Census Tract 103, Philadelphia County, Pennsylvania",27004,7357
42101010400,"Census Tract 104, Philadelphia County, Pennsylvania",26875,15948
42101010500,"Census Tract 105, Philadelphia County, Pennsylvania",22420,8994
42101010600,"Census Tract 106, Philadelphia County, Pennsylvania",21579,9254
42101010700,"Census Tract 107, Philadelphia County, Pennsylvania",18476,11843
42101010800,"Census Tract 108, Philadelphia County, Pennsylvania",23680,3367
42101010900,"Census Tract 109, Philadelphia County, Pennsylvania",27039,7240
42101011000,"Census Tract 110, Philadelphia County, Pennsylvania",16461,4800
42101011100,"Census Tract 111, Philadelphia County, Pennsylvania",37375,9985
42101011200,"Census Tract 112, Philadelphia County, Pennsylvania",33570,7231
42101011300,"Census Tract 113, Philadelphia County, Pennsylvania",28636,16349
42101011400,"Census Tract 114, Philadelphia County, Pennsylvania",33908,7471
42101011500,"Census Tract 115, Philadelphia County, Pennsylvania",58447,8944
42101011700,"Census Tract 117, Philadelphia County, Pennsylvania",57500,29860
42101011800,"Census Tract 118, Philadelphia County, Pennsylvania",41607,9031
42101011900,"Census Tract 119, Philadelphia County, Pennsylvania",35091,9499
42101012000,"Census Tract 120, Philadelphia County, Pennsylvania",58875,11056
42101012100,"Census Tract 121, Philadelphia County, Pennsylvania",45087,5060
42101012201,"Census Tract 122.01, Philadelphia County, Pennsylvania",27721,5089
42101012203,"Census Tract 122.03, Philadelphia County, Pennsylvania",51500,31627
42101012204,"Census Tract 122.04, Philadelphia County, Pennsylvania",54868,12618
42101012500,"Census Tract 125, Philadelphia County, Pennsylvania",77086,7386
42101013100,"Census Tract 131, Philadelphia County, Pennsylvania",37946,16678
42101013200,"Census Tract 132, Philadelphia County, Pennsylvania",26629,10267
42101013300,"Census Tract 133, Philadelphia County, Pennsylvania",86140,8749
42101013401,"Census Tract 134.01, Philadelphia County, Pennsylvania",87917,19394
42101013402,"Census Tract 134.02, Philadelphia County, Pennsylvania",84875,28857
42101013500,"Census Tract 135, Philadelphia County, Pennsylvania",89821,16399
42101013601,"Census Tract 136.01, Philadelphia County, Pennsylvania",105455,20144
42101013602,"Census Tract 136.02, Philadelphia County, Pennsylvania",87134,12271
42101013700,"Census Tract 137, Philadelphia County, Pennsylvania",55694,15164
